fix_id,tag.local.identifier,species,animal,date,start_datetime,stop_datetime,num_fixes,length_sec,start_time,stop_time
101,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:24:06,2023-07-02 08:24:10,5,4,2024-03-22 08:24:06,2024-03-22 08:24:10
102,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:27:06,2023-07-02 08:27:10,5,4,2024-03-22 08:27:06,2024-03-22 08:27:10
103,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:30:09,2023-07-02 08:30:13,5,4,2024-03-22 08:30:09,2024-03-22 08:30:13
104,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:33:06,2023-07-02 08:33:10,5,4,2024-03-22 08:33:06,2024-03-22 08:33:10
105,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:36:06,2023-07-02 08:36:10,5,4,2024-03-22 08:36:06,2024-03-22 08:36:10
106,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:39:06,2023-07-02 08:39:10,5,4,2024-03-22 08:39:06,2024-03-22 08:39:10
107,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:42:06,2023-07-02 08:42:10,5,4,2024-03-22 08:42:06,2024-03-22 08:42:10
108,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:45:08,2023-07-02 08:45:12,5,4,2024-03-22 08:45:08,2024-03-22 08:45:12
109,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:48:06,2023-07-02 08:48:10,5,4,2024-03-22 08:48:06,2024-03-22 08:48:10
110,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:51:07,2023-07-02 08:51:11,5,4,2024-03-22 08:51:07,2024-03-22 08:51:11
111,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:54:08,2023-07-02 08:54:12,5,4,2024-03-22 08:54:08,2024-03-22 08:54:12
112,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 08:57:06,2023-07-02 08:57:10,5,4,2024-03-22 08:57:06,2024-03-22 08:57:10
113,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:00:06,2023-07-02 09:00:10,5,4,2024-03-22 09:00:06,2024-03-22 09:00:10
114,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:03:06,2023-07-02 09:03:10,5,4,2024-03-22 09:03:06,2024-03-22 09:03:10
115,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:06:06,2023-07-02 09:06:10,5,4,2024-03-22 09:06:06,2024-03-22 09:06:10
116,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:09:16,2023-07-02 09:09:20,5,4,2024-03-22 09:09:16,2024-03-22 09:09:20
117,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:12:06,2023-07-02 09:12:10,5,4,2024-03-22 09:12:06,2024-03-22 09:12:10
118,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:15:08,2023-07-02 09:15:12,5,4,2024-03-22 09:15:08,2024-03-22 09:15:12
119,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:18:06,2023-07-02 09:18:10,5,4,2024-03-22 09:18:06,2024-03-22 09:18:10
120,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:21:06,2023-07-02 09:21:10,5,4,2024-03-22 09:21:06,2024-03-22 09:21:10
121,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:24:06,2023-07-02 09:24:10,5,4,2024-03-22 09:24:06,2024-03-22 09:24:10
122,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:27:06,2023-07-02 09:27:10,5,4,2024-03-22 09:27:06,2024-03-22 09:27:10
123,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:30:06,2023-07-02 09:30:10,5,4,2024-03-22 09:30:06,2024-03-22 09:30:10
124,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:33:06,2023-07-02 09:33:10,5,4,2024-03-22 09:33:06,2024-03-22 09:33:10
125,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:36:06,2023-07-02 09:36:10,5,4,2024-03-22 09:36:06,2024-03-22 09:36:10
126,8588,Homo sapiens,TEST,2023-07-02,2023-07-02 09:39:06,2023-07-02 09:39:10,5,4,2024-03-22 09:39:06,2024-03-22 09:39:10
