"","id","DOF","low","area","high","scale","rate","shape","group","year","group_size"
"1","aa_1991",28.6823374655792,1.42646706329049,2.13516184648434,2.98451404791112,0.0744416960105392,13.4333317695828,28.6823374655792,"aa",1991,17
"2","aa_1992",126.209422335877,1.97739156683079,2.37336675792453,2.80494399855876,0.0188049886767437,53.1773784706772,126.209422335877,"aa",1992,20
"3","aa_1993",64.7589595085881,1.43578150443329,1.86130863976178,2.34122132391382,0.0287421023111859,34.7921661809275,64.7589595085881,"aa",1993,23
"4","aa_1997",29.6998561037155,2.0203785925617,3.0010432239622,4.17265035476351,0.101045715961794,9.89651060890205,29.6998561037155,"aa",1997,30
"5","aa_1999",16.7228401533283,2.59607414158932,4.47916355783845,6.86740866495329,0.267847059277606,3.7334738813151,16.7228401533283,"aa",1999,29
"6","aa_2001",47.558491823207,5.65223831306167,7.6775774508557,10.0082569443752,0.161434418050854,6.19446591423267,47.558491823207,"aa",2001,31
"7","aa_2002",94.0543836192801,6.59437064304822,8.15979193032946,9.88942970675635,0.0867561044614277,11.5265664152153,94.0543836192801,"aa",2002,38
"8","aa_2003",77.0978222295233,4.8614595518144,6.15912539715052,7.60798015964499,0.0798871514011713,12.5176575013706,77.0978222295233,"aa",2003,37
"9","aa_2004",125.010233169017,2.76367079559259,3.32013253440279,3.92687590817878,0.0265588860226658,37.6521816143412,125.010233169017,"aa",2004,18
"10","aa_2005",106.881348935466,2.91865270499906,3.56181253452043,4.26805734978697,0.0333249212327121,30.0075728016542,106.881348935466,"aa",2005,20
"11","aa_2006",120.695495166896,2.60948023025666,3.14558523611488,3.7310304465329,0.0260621594183379,38.3698059684332,120.695495166896,"aa",2006,24
"12","aa_2007",89.7152549917015,2.22305745575903,2.76559950480571,3.36648922378599,0.0308264130226405,32.4397132830715,89.7152549917015,"aa",2007,21
"13","aa_2008",84.6308229573474,3.20889498926211,4.01940238560104,4.91979998190556,0.0474933628806464,21.0555736495868,84.6308229573474,"aa",2008,23
"14","aa_2009",97.2367537913318,2.60795137676519,3.21512576162067,3.88488873950761,0.0330649228430668,30.2435304248618,97.2367537913318,"aa",2009,26
"15","aa_2010",62.7870705924468,2.32062311344071,3.0214019017148,3.81323236306331,0.0481214025946015,20.7807741687102,62.7870705924468,"aa",2010,24
"16","aa_2011",41.8353785784084,2.80149913628293,3.88983793336418,5.1540032819813,0.0929796279021069,10.7550441162536,41.8353785784084,"aa",2011,30
"17","aa_2012",86.4220658291117,1.94933530584744,2.43565719677273,2.97532223836075,0.0281832790434439,35.4820316847632,86.4220658291117,"aa",2012,28
"18","aa_2013",48.2355371883667,2.13436277404569,2.89243229927398,3.76392283864224,0.0599647576843316,16.6764619522726,48.2355371883667,"aa",2013,32
"19","aa_2014",63.3900250621362,2.41571573995669,3.14099363585812,3.96002785678514,0.0495502822846221,20.1815197389975,63.3900250621362,"aa",2014,34
"20","aa_2015",42.1272797887948,1.75816332436552,2.4381735406197,3.22763057016738,0.0578763583322609,17.2782121891485,42.1272797887948,"aa",2015,25
"21","aa_2016",19.2654989243322,1.88411079240103,3.1170628316523,4.6553389958341,0.161795074391532,6.1806578708328,19.2654989243322,"aa",2016,19
"22","aa_2017",34.2139746990934,0.783054843325643,1.12929697367497,1.53793147896118,0.0330068921721886,30.2967027244872,34.2139746990934,"aa",2017,22
"23","aa_2018",32.9305307925268,0.959748382341552,1.39486669727328,1.91004664531886,0.0423578564846525,23.6083712206336,32.9305307925268,"aa",2018,24
"24","aa_2019",25.3125608840291,1.24359683860324,1.91592346392126,2.73121821694818,0.0756906214546672,13.2116764373367,25.3125608840291,"aa",2019,26
"25","ce_2012",16.0128611714279,0.362162515950533,0.633446992487806,0.979323573624008,0.0395586388782336,25.2789284049465,16.0128611714279,"ce",2012,7
"26","ce_2013",5.88278561948325,0.843885242734312,2.32833139897908,4.5527881230569,0.39578722557352,2.52661009599524,5.88278561948325,"ce",2013,11
"27","ce_2014",5.44037148238662,0.864001390868818,2.50903161273562,5.01537151112731,0.46118755325049,2.16831523954173,5.44037148238662,"ce",2014,14
"28","ce_2015",15.6010147857965,0.435508876011684,0.76814542535554,1.19361190616709,0.0492368884910535,20.3099755213351,15.6010147857965,"ce",2015,16
"29","ce_2016",11.899515332751,0.727712552782554,1.41292486099937,2.32166290576568,0.118738017598967,8.42190243884193,11.899515332751,"ce",2016,14
"30","ce_2017",14.5108614931858,0.714877980534772,1.29158674795218,2.0360481766132,0.0890082748401051,11.2349104821592,14.5108614931858,"ce",2017,19
"31","ce_2018",5.47479526800579,0.444177616651273,1.28441641056365,2.56284397143968,0.234605377495971,4.26247689065513,5.47479526800579,"ce",2018,18
"32","ce_2019",9.80246655538195,0.381939590441799,0.803467922971324,1.3790837308158,0.0819658928119666,12.2001965170323,9.80246655538195,"ce",2019,18
"33","cu_2007",12.7143207462412,0.17716288749524,0.33545719469546,0.543440572993931,0.0263842010431137,37.901469836662,12.7143207462412,"cu",2007,5
"34","cu_2008",20.3773569737182,0.657598806412982,1.07104258651785,1.58369437178806,0.0525604271397529,19.0257205737902,20.3773569737182,"cu",2008,7
"35","cu_2009",18.8209367418001,0.537583800360392,0.895329651635631,1.342838566216,0.0475709399547133,21.0212369348174,18.8209367418001,"cu",2009,5
"36","cu_2011",11.1893620981391,0.394766626271379,0.785346643058895,1.30800013660658,0.0701869003943937,14.2476729187471,11.1893620981391,"cu",2011,9
"37","di_2013",8.76583199628761,0.507936067045065,1.12473656812755,1.98251769389648,0.128309163192254,7.79367564342721,8.76583199628761,"di",2013,12
