"","lat","long","time","temp_2m","veg_cover_high","veg_cover_low","leaf_area_idx_high","leaf_area_inx_low","solar_rad","therm_rad","total_precip"
"1",10.4700002670288,-85.4100036621094,1991-01-01 14:00:00,304.455778098111,0.17987060546875,0.811314821243286,5.09095415266383,2.35866962191463,1801979.84147872,-267454.071621359,1.86813895335248e-05
"2",10.4700002670288,-85.4100036621094,1991-01-02 14:00:00,304.934700148536,0.17987060546875,0.811314821243286,5.08921124662908,2.34908068152252,1971476.7806482,-292570.702627994,7.82839180452424e-05
"3",10.4700002670288,-85.4100036621094,1991-01-03 14:00:00,304.339228523672,0.17987060546875,0.811314821243286,5.08753232392893,2.33957722945486,1968159.22489934,-317818.198105821,1.4826499629781e-06
"4",10.4700002670288,-85.4100036621094,1991-01-04 14:00:00,303.592598717112,0.17987060546875,0.811314821243286,5.08584828256202,2.33001678517091,1958292.72793192,-287121.13214907,5.93059985192282e-07
"5",10.4700002670288,-85.4100036621094,1991-01-05 14:00:00,304.408700213239,0.17987060546875,0.811314821243286,5.08416935986187,2.32045634088695,1830588.37417027,-295804.924558882,8.89589977787555e-07
"6",10.4700002670288,-85.4100036621094,1991-01-06 14:00:00,305.269843793811,0.17987060546875,0.811314821243286,5.08246996249465,2.31085315244077,1751699.48357054,-259359.169331911,4.83343887930851e-05
"7",10.4700002670288,-85.4100036621094,1991-01-07 14:00:00,304.900346016332,0.17987060546875,0.811314821243286,5.08083454846204,2.30136394842718,2074665.68997991,-341242.938449188,0
"8",10.4700002670288,-85.4100036621094,1991-01-08 14:00:00,304.876679836369,0.17987060546875,0.811314821243286,5.07915050709513,2.2918177521973,2148212.02326976,-323697.751847233,7.70977980748579e-06
"9",10.4700002670288,-85.4100036621094,1991-01-09 14:00:00,304.450943072097,0.17987060546875,0.811314821243286,5.0774690250616,2.28225730791334,2150797.13164551,-307937.930530825,7.26498481859253e-05
"10",10.4700002670288,-85.4100036621094,1991-01-10 14:00:00,305.143878642398,0.17987060546875,0.811314821243286,5.07572611902685,2.27269686362938,1773715.98990394,-296926.620026242,0
"11",10.4700002670288,-85.4100036621094,1991-01-11 14:00:00,307.182223819816,0.17987060546875,0.811314821243286,5.07410606099454,2.26313641934542,2061610.89268241,-353675.063212427,0
"12",10.4700002670288,-85.4100036621094,1991-01-12 14:00:00,306.508882828624,0.17987060546875,0.811314821243286,5.07234779895948,2.25359022311554,2194270.03749757,-400206.73018341,0
"13",10.4700002670288,-85.4100036621094,1991-01-13 14:00:00,305.299362900001,0.17987060546875,0.811314821243286,5.07064840159226,2.24410101910195,2142137.01858677,-365882.848882195,0
"14",10.4700002670288,-85.4100036621094,1991-01-14 14:00:00,304.82222217495,0.17987060546875,0.811314821243286,5.06896947889212,2.2344835826017,2211374.83791706,-406488.224800625,0
"15",10.4700002670288,-85.4100036621094,1991-01-15 14:00:00,304.400048061425,0.17987060546875,0.811314821243286,5.06786896553684,2.22780124524078,1576773.816812,-262182.102924767,8.00630980008279e-06
"16",10.4700002670288,-85.4100036621094,1991-01-16 14:00:00,305.014350840237,0.17987060546875,0.811314821243286,5.06687082551694,2.22174582225914,1670613.25085143,-304918.700231181,1.95709795113106e-05
"17",10.4700002670288,-85.4100036621094,1991-01-17 14:00:00,304.902636291812,0.17987060546875,0.811314821243286,5.06589827883088,2.21574739149379,2143774.25389141,-412470.600626545,0
"18",10.4700002670288,-85.4100036621094,1991-01-18 14:00:00,305.403952146932,0.17987060546875,0.811314821243286,5.06486174881021,2.20970621656622,2078198.67142675,-408292.285010629,0
"19",10.4700002670288,-85.4100036621094,1991-01-19 15:00:00,305.201898954564,0.17987060546875,0.811314821243286,5.06389176145753,2.20363654553051,1924815.57446606,-333662.14658228,1.92744495187153e-05
"20",10.4700002670288,-85.4100036621094,1991-01-20 15:00:00,305.668860677481,0.17987060546875,0.811314821243286,5.06291921477147,2.19759537060294,2209608.34719364,-453646.171740883,1.77917995557511e-06
"21",10.4700002670288,-85.4100036621094,1991-01-21 15:00:00,305.37875911665,0.17987060546875,0.811314821243286,5.06183917608327,2.1915399476213,2419002.12562874,-462965.591582199,0
"22",10.4700002670288,-85.4100036621094,1991-01-22 15:00:00,304.036657685226,0.17987060546875,0.811314821243286,5.06080520539599,2.18552726880188,2093752.4068208,-355993.233844971,0
"23",10.4700002670288,-85.4100036621094,1991-01-23 15:00:00,303.930541587975,0.17987060546875,0.811314821243286,5.05987616737746,2.17950034192838,2169409.91195085,-381222.034398342,0
"24",10.4700002670288,-85.4100036621094,1991-01-24 15:00:00,305.583866009658,0.17987060546875,0.811314821243286,5.05886267135725,2.17343067089267,2415124.46306513,-448486.372591028,0
"25",10.4700002670288,-85.4100036621094,1991-01-25 15:00:00,305.511595094504,0.17987060546875,0.811314821243286,5.0579054806715,2.1673894959651,2358553.67477597,-377997.159929682,0
"26",10.4700002670288,-85.4100036621094,1991-01-26 15:00:00,305.208769781005,0.17987060546875,0.811314821243286,5.05686895065083,2.16131982492938,2402198.92118642,-406348.012867205,0
"27",10.4700002670288,-85.4100036621094,1991-01-27 15:00:00,305.641631846771,0.17987060546875,0.811314821243286,5.05589896329815,2.15526440194774,2061093.87100726,-371192.207427699,0
"28",10.4700002670288,-85.4100036621094,1991-01-28 15:00:00,307.660891395187,0.17987060546875,0.811314821243286,5.05484963661056,2.1491519867498,2066479.51345672,-373183.216882263,0
"29",10.4700002670288,-85.4100036621094,1991-01-29 15:00:00,305.621782792609,0.17987060546875,0.811314821243286,5.05383358125697,2.14315355598445,2104911.45797609,-344701.499473548,0
