# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = mei_hr_model
# start_datetime = 2024-11-09 16:30:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 11
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpEx394J/standata-214b7c601103c8.json
# init = 0
# random
#   seed = 232
# output
#   file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/mei_hr-202411091730-3-2550f4.csv
#   diagnostic_file =  (Default)
#   refresh = 250
#   sig_figs = -1 (Default)
#   profile_file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/mei_hr-profile-202411091730-3-6fbed2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --O1 --name=mei_hr_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,am.1,am.2,am.3,am.4,am.5,am.6,am.7,am.8,am.9,am.10,am.11,am.12,am.13,am.14,am.15,am.16,am.17,am.18,am.19,am.20,am.21,am.22,am.23,am.24,am_pred.1,am_pred.2,am_pred.3,am_pred.4,am_pred.5,am_pred.6,am_pred.7,am_pred.8,am_pred.9,am_pred.10,am_pred.11,am_pred.12,am_pred.13,am_pred.14,am_pred.15,am_pred.16,am_pred.17,am_pred.18,am_pred.19,am_pred.20,am_pred.21,am_pred.22,am_pred.23,am_pred.24,z_g.1.1,z_g.2.1,z_g.1.2,z_g.2.2,z_g.1.3,z_g.2.3,z_g.1.4,z_g.2.4,z_g.1.5,z_g.2.5,z_g.1.6,z_g.2.6,z_g.1.7,z_g.2.7,z_g.1.8,z_g.2.8,z_g.1.9,z_g.2.9,z_g.1.10,z_g.2.10,z_g.1.11,z_g.2.11,v_mu.1,v_mu.2,L_Rho_g.1.1,L_Rho_g.2.1,L_Rho_g.1.2,L_Rho_g.2.2,sigma_g.1,sigma_g.2,k,v.1.1,v.2.1,v.3.1,v.4.1,v.5.1,v.6.1,v.7.1,v.8.1,v.9.1,v.10.1,v.11.1,v.1.2,v.2.2,v.3.2,v.4.2,v.5.2,v.6.2,v.7.2,v.8.2,v.9.2,v.10.2,v.11.2,Rho_g.1.1,Rho_g.2.1,Rho_g.1.2,Rho_g.2.2
-287.136,0.783053,0.0625,4,15,0,441.717,0.561542,0.129789,1.57727,1.01153,0.78081,-0.709467,-0.347498,0.492135,-0.0634459,0.0292589,-0.0923049,0.36365,-0.0386263,-0.74843,-0.0518484,-0.806168,-0.726027,-0.228158,-0.0278802,-0.0211196,0.755181,0.446429,-0.387807,-0.202685,0.314934,0.0868313,-0.471771,-0.295733,-0.485896,0.145763,0.28537,0.286513,-0.675312,0.252513,0.376293,0.293946,0.284111,-0.226723,0.215218,0.0729501,0.537405,-0.52975,-0.0536355,0.596803,0.274537,-0.126977,0.064019,-0.0718782,0.45998,0.923489,-0.352874,-0.811079,-0.3512,-0.511516,-0.432595,-0.150587,0.304418,0.0882565,0.125346,1.59731,0.181494,0.604967,0.243513,0.0278521,-0.242923,-0.149709,-0.261346,-0.513331,-1.04522,-0.0479294,0.137709,1.01199,-0.0294713,1,-0.457187,0,0.88937,0.627003,0.866908,1.16336,0.579031,-0.508549,-0.320722,-0.0944187,0.0553371,1.00152,0.379316,0.0174634,-0.0938682,-0.32186,-0.0300519,-0.638083,0.0506865,-0.130798,0.294391,0.0616622,-0.493145,-0.0520236,-0.198333,-0.142163,-0.602412,0.12517,1,-0.457187,-0.457187,1
-287.136,0,6.86419,0,1,1,323.203,0.561542,0.129789,1.57727,1.01153,0.78081,-0.709467,-0.347498,0.492135,-0.0634459,0.0292589,-0.0923049,0.36365,-0.0386263,-0.74843,-0.0518484,-0.806168,-0.726027,-0.228158,-0.0278802,-0.0211196,0.755181,0.446429,-0.387807,-0.202685,0.314934,0.0868313,-0.471771,-0.295733,-0.485896,0.145763,0.28537,0.286513,-0.675312,0.252513,0.376293,0.293946,0.284111,-0.226723,0.215218,0.0729501,0.537405,-0.52975,-0.0536355,0.596803,0.274537,-0.126977,0.064019,-0.0718782,0.45998,0.923489,-0.352874,-0.811079,-0.3512,-0.511516,-0.432595,-0.150587,0.304418,0.0882565,0.125346,1.59731,0.181494,0.604967,0.243513,0.0278521,-0.242923,-0.149709,-0.261346,-0.513331,-1.04522,-0.0479294,0.137709,1.01199,-0.0294713,1,-0.457187,0,0.88937,0.627003,0.866908,1.16336,0.579031,-0.508549,-0.320722,-0.0944187,0.0553371,1.00152,0.379316,0.0174634,-0.0938682,-0.32186,-0.0300519,-0.638083,0.0506865,-0.130798,0.294391,0.0616622,-0.493145,-0.0520236,-0.198333,-0.142163,-0.602412,0.12517,1,-0.457187,-0.457187,1
-287.136,0,0.595326,0,1,1,323.393,0.561542,0.129789,1.57727,1.01153,0.78081,-0.709467,-0.347498,0.492135,-0.0634459,0.0292589,-0.0923049,0.36365,-0.0386263,-0.74843,-0.0518484,-0.806168,-0.726027,-0.228158,-0.0278802,-0.0211196,0.755181,0.446429,-0.387807,-0.202685,0.314934,0.0868313,-0.471771,-0.295733,-0.485896,0.145763,0.28537,0.286513,-0.675312,0.252513,0.376293,0.293946,0.284111,-0.226723,0.215218,0.0729501,0.537405,-0.52975,-0.0536355,0.596803,0.274537,-0.126977,0.064019,-0.0718782,0.45998,0.923489,-0.352874,-0.811079,-0.3512,-0.511516,-0.432595,-0.150587,0.304418,0.0882565,0.125346,1.59731,0.181494,0.604967,0.243513,0.0278521,-0.242923,-0.149709,-0.261346,-0.513331,-1.04522,-0.0479294,0.137709,1.01199,-0.0294713,1,-0.457187,0,0.88937,0.627003,0.866908,1.16336,0.579031,-0.508549,-0.320722,-0.0944187,0.0553371,1.00152,0.379316,0.0174634,-0.0938682,-0.32186,-0.0300519,-0.638083,0.0506865,-0.130798,0.294391,0.0616622,-0.493145,-0.0520236,-0.198333,-0.142163,-0.602412,0.12517,1,-0.457187,-0.457187,1
-223.547,1,0.029453,6,63,0,314.24,0.592458,0.981547,0.359512,0.510677,1.2994,-1.51044,-0.230703,0.196779,0.193488,0.292215,0.22919,-0.196743,-0.946656,-1.15059,0.00572618,-0.967713,-1.53387,-0.324167,-0.658981,0.151814,1.6558,0.465845,-0.435085,-0.276799,0.320381,0.615081,0.105095,0.188826,-0.433152,-0.33034,0.267328,0.209687,-1.03328,0.287289,0.611812,0.00710353,0.198261,-0.122199,-0.245315,-0.555608,-0.508201,-0.32877,-0.150309,0.212052,0.578366,0.650788,0.453705,-0.227808,0.516301,0.784629,0.159497,-0.280991,0.0667931,-0.824698,-0.800864,-0.748058,-0.31252,0.304009,-0.184407,0.934372,-0.442622,0.55155,-0.233945,-0.0630153,0.0670697,-0.534797,0.2567,-0.0306061,-0.938975,-0.0176772,0.169521,0.521095,-0.215393,1,-0.0284741,0,0.999595,0.839319,0.452493,0.444926,0.658554,-0.235841,-0.692185,-0.627859,0.25516,0.784236,0.462927,-0.0528899,-0.448865,-0.0256883,-0.0148368,0.0620325,0.0338315,-0.351613,-0.131717,-0.0873262,-0.212241,-0.112922,0.0311482,0.122998,-0.424313,0.0769039,1,-0.0284741,-0.0284741,1
-223.356,0.997022,0.0198955,7,127,0,265.498,0.716181,0.264657,1.7597,1.1257,1.15477,-0.969107,-0.433745,0.51954,0.121971,0.0310193,-0.317693,0.292512,-0.256948,-0.8945,0.0141779,-0.676284,-0.953478,-0.36303,-0.0823641,-0.0563714,0.881961,0.40983,-0.440881,-0.298003,0.476741,0.797327,2.01394,2.03705,2.35455,-2.30783,-0.81546,-0.120188,0.31197,0.0346965,-1.10901,-0.651144,-0.95425,-1.60628,0.00750699,0.425025,-0.895345,-0.758797,0.555005,0.327521,1.53157,-0.00246829,-0.751593,-0.131364,1.19848,0.919792,-0.459776,-1.37876,0.569664,-1.84226,1.20395,-1.35648,-1.485,0.00470426,0.328251,1.83882,-1.00292,0.589326,-1.55511,-0.455832,0.562556,-0.993465,-0.0196104,-0.642537,-0.0931286,-1.59467,2.16757,0.779843,0.0501011,1,-0.234047,0,0.972225,0.339511,0.088817,0.384258,0.31228,-0.468105,-0.625467,-0.460541,0.00159715,0.624302,0.200083,-0.15476,-0.337292,-0.218148,-0.541408,-0.0588218,0.0778514,0.142257,-0.100032,0.0282468,-0.124827,-0.146535,0.0580524,0.0189581,0.00531495,0.220319,1,-0.234047,-0.234047,1
-216.311,0.998208,0.0155005,7,127,0,266.4,0.634745,0.732099,1.34705,1.20887,1.44566,-1.12771,-0.539537,0.331338,0.0752827,0.139714,-0.0664441,0.144361,-0.462134,-0.917206,0.0939764,-0.648362,-1.41924,-0.549223,-0.53971,0.117698,1.22855,0.624131,0.154433,-0.100282,0.543351,0.347641,1.09542,1.47774,0.701208,-1.67665,-1.37176,-1.28207,0.01167,-0.346159,-0.98475,-0.686897,-0.120039,-1.11557,2.03715,-0.790513,-1.43681,-0.960771,-0.291178,0.444256,0.487949,0.972323,0.475509,0.812483,0.84607,0.392169,-0.547756,-0.587635,-0.470383,-1.42947,0.407171,-0.70991,-0.868901,-0.180492,-1.78738,1.01959,0.0730624,-0.252573,-2.19252,-0.166955,-0.307629,-0.702158,-0.428448,-0.729978,-1.83568,-1.14971,2.20987,0.886878,-0.200374,1,-0.301099,0,0.953593,0.657985,0.0235674,0.393254,0.258042,-0.386655,-0.940571,-0.46711,-0.118761,0.670876,-0.166189,-0.109854,-0.462009,-0.480314,-0.756494,-0.015093,-0.00640131,0.0192943,-0.0144898,-0.0388882,-0.00559315,-0.0474817,-0.00572881,-0.00464621,-0.0360744,0.0578224,1,-0.301099,-0.301099,1
-208.381,0.996845,0.0133493,8,383,0,245.845,0.652787,0.763471,1.3988,1.15691,1.48605,-0.972302,-0.454953,0.255685,0.0754441,0.23423,-0.023806,0.277467,-0.375373,-0.974119,-0.0930794,-0.576874,-1.40018,-0.419175,-0.546081,0.0823109,1.24047,0.626981,0.0735856,-0.157375,0.537164,0.925527,1.30844,1.10157,1.29754,-0.8343,-0.607655,-1.06179,-1.57555,0.736989,0.0682615,0.0851868,-0.0344131,-0.406974,-0.90375,-0.00106912,-1.3148,0.815845,-0.384343,0.0309209,0.609583,0.455201,0.371936,-0.209713,0.670564,1.24472,-0.0209057,-0.262948,0.946819,-1.64283,0.312373,-0.452178,0.977911,0.324359,2.00767,1.36782,-0.635132,1.04149,1.58076,0.339602,-0.757778,-0.738907,-0.559969,-0.170286,1.22828,-1.25992,-0.0858943,0.561017,-0.170567,1,-0.349709,0,0.936858,0.487961,0.00508127,0.38071,0.607376,-0.128308,-0.801638,-0.220645,0.158274,0.667441,0.508206,0.165713,-0.360558,-0.0830927,-0.614794,-0.00231135,0.00497452,0.00440629,0.00545878,0.008981,-0.00545407,0.00567439,-0.00421081,-0.00135268,0.00614971,0.00182995,1,-0.349709,-0.349709,1
-220.676,0.998885,0.0122189,8,255,0,251.374,0.660177,0.565764,1.13201,1.18167,1.44299,-1.25789,-0.48575,0.236021,0.1372,0.0142103,-0.158296,0.162636,-0.460094,-1.29561,-0.00415546,-0.679536,-1.16311,-0.574445,-0.564535,0.0494836,1.36048,0.627572,-0.0403372,-0.0226638,0.369619,-1.11001,0.936909,1.70395,1.2176,-1.13926,-1.66952,-0.379908,0.0910789,-0.862487,-1.84941,-1.13639,-0.845943,-1.95567,0.954202,-1.58839,-0.332083,-0.935908,0.0178957,0.150101,2.08637,0.409252,-0.621022,-0.422015,0.971466,0.516153,-0.241399,-0.425857,3.11185,-0.746468,-0.0915929,-0.921651,0.369556,0.283386,2.69029,0.9172,-0.21307,0.657949,1.069,0.016468,1.42091,-0.321565,0.171215,-0.199816,0.22714,-0.326831,-0.247433,0.699186,-0.0899214,1,0.204883,0,0.978786,0.810821,0.00136331,0.437254,0.418508,-0.345293,-0.605252,-0.747294,0.229776,0.743685,0.533479,0.0133526,-0.260732,-0.162015,-0.265002,-0.000177948,0.00403347,-0.000330723,0.000235696,0.00366905,-2.81274e-05,0.00161025,0.00190065,0.000138649,0.000247281,-0.000421462,1,0.204883,0.204883,1
-212.104,0.99253,0.0117771,8,255,0,255.671,0.625587,0.579909,1.16014,0.851476,1.55642,-1.06075,-0.452837,0.346696,0.204724,-0.231337,-0.178378,0.0195547,-0.777246,-0.888814,-0.110968,-0.72744,-1.36596,-0.369866,-0.216991,0.17306,1.20185,0.543351,-0.367528,-0.37737,0.451524,-0.248074,1.80979,-0.0295628,2.27699,-1.75993,-0.436871,-1.00672,-0.700287,0.294788,-0.313419,-1.9277,-0.422769,-1.90611,-0.252581,-0.607336,-1.20197,-0.641738,0.268714,0.99936,1.28727,0.121281,-1.09756,-0.296492,0.253066,0.779643,0.444804,-0.68266,2.22168,-1.31158,1.03993,-0.307962,-0.635008,0.0642374,2.54818,0.738211,-0.647596,0.513001,-0.0603277,-0.239024,0.134263,-0.61263,-0.170969,-0.546197,0.20554,-0.604747,0.163568,0.806316,-0.126692,1,0.248389,0,0.96866,0.628923,0.00194353,0.445588,0.490336,-0.429341,-0.82488,-0.193685,0.0404004,0.464278,0.322638,-0.150327,-0.385297,-0.343516,-0.380339,0.00121377,0.00385304,0.00132462,-0.00134415,0.00482827,-0.000862807,0.000134077,0.000137379,-0.000617618,0.000123277,1.59946e-05,1,0.248389,0.248389,1
-204.674,0.987333,0.0114906,8,255,0,255.828,0.63008,0.745309,1.05545,1.03302,1.38419,-1.01062,-0.495491,0.42596,0.234525,-0.215631,-0.179255,0.261901,-0.792883,-0.84961,-0.0515148,-0.723227,-1.23892,-0.352508,-0.151472,0.102495,1.18462,0.665657,-0.269327,-0.263483,0.457394,1.93404,0.525348,2.35115,-0.0883011,-0.563059,-1.26036,-0.273275,-0.49268,0.682569,-0.503846,0.742179,0.00839859,-1.21177,0.176853,-0.953991,-0.192261,-0.0130236,0.829759,0.177377,0.869379,1.48395,0.257468,0.414821,0.595347,1.05604,-1.3497,-0.601667,-0.791561,-1.30343,-1.38577,-0.758508,-0.452912,0.366204,-2.25296,1.80989,0.758619,0.514872,0.349826,0.39265,0.00359985,-0.628715,1.23916,-0.210233,-0.161173,-0.417936,-0.0781822,0.661073,-0.146126,1,-0.566558,0,0.824022,0.485102,0.0836538,0.390182,0.512288,-0.29187,-0.632296,-0.367954,0.177647,0.877981,0.249766,0.190475,-0.304991,-0.101985,-0.202742,-0.143089,-0.0260485,-0.0337492,0.00472884,-0.172658,-0.0334856,-0.000287841,-0.0183614,0.115216,-0.00114612,0.0144186,1,-0.566558,-0.566558,1
