# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = mei_hr_model
# start_datetime = 2024-11-09 16:30:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 11
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpEx394J/standata-214b7c601103c8.json
# init = 0
# random
#   seed = 232
# output
#   file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/mei_hr-202411091730-2-2550f4.csv
#   diagnostic_file =  (Default)
#   refresh = 250
#   sig_figs = -1 (Default)
#   profile_file = /home/TOP/kbrock/long_spatial_data_enso_lomas/./sample_output_dir/mei_hr-profile-202411091730-2-6fbed2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --O1 --name=mei_hr_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,am.1,am.2,am.3,am.4,am.5,am.6,am.7,am.8,am.9,am.10,am.11,am.12,am.13,am.14,am.15,am.16,am.17,am.18,am.19,am.20,am.21,am.22,am.23,am.24,am_pred.1,am_pred.2,am_pred.3,am_pred.4,am_pred.5,am_pred.6,am_pred.7,am_pred.8,am_pred.9,am_pred.10,am_pred.11,am_pred.12,am_pred.13,am_pred.14,am_pred.15,am_pred.16,am_pred.17,am_pred.18,am_pred.19,am_pred.20,am_pred.21,am_pred.22,am_pred.23,am_pred.24,z_g.1.1,z_g.2.1,z_g.1.2,z_g.2.2,z_g.1.3,z_g.2.3,z_g.1.4,z_g.2.4,z_g.1.5,z_g.2.5,z_g.1.6,z_g.2.6,z_g.1.7,z_g.2.7,z_g.1.8,z_g.2.8,z_g.1.9,z_g.2.9,z_g.1.10,z_g.2.10,z_g.1.11,z_g.2.11,v_mu.1,v_mu.2,L_Rho_g.1.1,L_Rho_g.2.1,L_Rho_g.1.2,L_Rho_g.2.2,sigma_g.1,sigma_g.2,k,v.1.1,v.2.1,v.3.1,v.4.1,v.5.1,v.6.1,v.7.1,v.8.1,v.9.1,v.10.1,v.11.1,v.1.2,v.2.2,v.3.2,v.4.2,v.5.2,v.6.2,v.7.2,v.8.2,v.9.2,v.10.2,v.11.2,Rho_g.1.1,Rho_g.2.1,Rho_g.1.2,Rho_g.2.2
-234.55,0.6,0.0625,4,15,0,396.527,0.584335,0.375215,0.670006,0.65285,0.918678,-0.884589,-0.37638,0.00624688,0.197469,0.183402,-0.181325,0.213413,-0.497252,-0.847919,-0.169894,-0.628334,-0.882144,-0.204804,-0.45942,-0.354628,1.02362,0.135393,-0.402884,-0.505941,0.255157,0.422814,-0.156456,0.160626,-0.167411,-0.630589,0.149479,0.12799,0.299222,0.32464,-0.269339,-0.415308,0.112666,-0.108226,-0.345305,0.459202,0.183225,0.166652,-0.0546734,-0.288365,-0.128262,-0.206753,0.134802,0.0803605,0.0481529,0.74669,-0.313419,-0.254179,-0.0124808,-0.399433,0.257702,-0.41086,-0.173894,0.0310095,0.600376,1.24166,-0.0991443,0.592212,-0.188942,0.127484,0.0239389,-0.140385,0.392914,-0.387598,0.132533,-0.232206,0.358065,0.515716,0.263551,1,-0.291909,0,0.956446,0.777534,0.49824,0.984301,0.580576,-0.197633,-0.310573,-0.319457,0.0241109,0.965429,0.460465,0.0991235,-0.109154,-0.30137,-0.180548,-0.257956,0.0310203,0.180899,-0.0231118,0.281593,-0.227833,-0.17617,-0.00713355,0.207656,0.11953,0.204404,1,-0.291909,-0.291909,1
-234.55,0,4.92091,0,1,1,264.36,0.584335,0.375215,0.670006,0.65285,0.918678,-0.884589,-0.37638,0.00624688,0.197469,0.183402,-0.181325,0.213413,-0.497252,-0.847919,-0.169894,-0.628334,-0.882144,-0.204804,-0.45942,-0.354628,1.02362,0.135393,-0.402884,-0.505941,0.255157,0.422814,-0.156456,0.160626,-0.167411,-0.630589,0.149479,0.12799,0.299222,0.32464,-0.269339,-0.415308,0.112666,-0.108226,-0.345305,0.459202,0.183225,0.166652,-0.0546734,-0.288365,-0.128262,-0.206753,0.134802,0.0803605,0.0481529,0.74669,-0.313419,-0.254179,-0.0124808,-0.399433,0.257702,-0.41086,-0.173894,0.0310095,0.600376,1.24166,-0.0991443,0.592212,-0.188942,0.127484,0.0239389,-0.140385,0.392914,-0.387598,0.132533,-0.232206,0.358065,0.515716,0.263551,1,-0.291909,0,0.956446,0.777534,0.49824,0.984301,0.580576,-0.197633,-0.310573,-0.319457,0.0241109,0.965429,0.460465,0.0991235,-0.109154,-0.30137,-0.180548,-0.257956,0.0310203,0.180899,-0.0231118,0.281593,-0.227833,-0.17617,-0.00713355,0.207656,0.11953,0.204404,1,-0.291909,-0.291909,1
-234.55,0,0.3867,0,1,1,279.42,0.584335,0.375215,0.670006,0.65285,0.918678,-0.884589,-0.37638,0.00624688,0.197469,0.183402,-0.181325,0.213413,-0.497252,-0.847919,-0.169894,-0.628334,-0.882144,-0.204804,-0.45942,-0.354628,1.02362,0.135393,-0.402884,-0.505941,0.255157,0.422814,-0.156456,0.160626,-0.167411,-0.630589,0.149479,0.12799,0.299222,0.32464,-0.269339,-0.415308,0.112666,-0.108226,-0.345305,0.459202,0.183225,0.166652,-0.0546734,-0.288365,-0.128262,-0.206753,0.134802,0.0803605,0.0481529,0.74669,-0.313419,-0.254179,-0.0124808,-0.399433,0.257702,-0.41086,-0.173894,0.0310095,0.600376,1.24166,-0.0991443,0.592212,-0.188942,0.127484,0.0239389,-0.140385,0.392914,-0.387598,0.132533,-0.232206,0.358065,0.515716,0.263551,1,-0.291909,0,0.956446,0.777534,0.49824,0.984301,0.580576,-0.197633,-0.310573,-0.319457,0.0241109,0.965429,0.460465,0.0991235,-0.109154,-0.30137,-0.180548,-0.257956,0.0310203,0.180899,-0.0231118,0.281593,-0.227833,-0.17617,-0.00713355,0.207656,0.11953,0.204404,1,-0.291909,-0.291909,1
-225.886,0.97596,0.0180838,7,127,0,267.387,0.735477,0.658002,1.25801,1.07807,1.35645,-1.58919,-0.480774,0.434078,-0.1215,0.219779,0.133396,-0.0828159,-0.61701,-1.31155,0.0943001,-0.861404,-1.36646,-0.237742,-0.30899,0.188892,1.27385,0.590602,-0.339062,0.077177,0.681356,1.0307,2.05325,1.68178,1.93665,-1.80345,-2.97058,-2.74133,-1.60432,-0.876823,-0.567866,-0.253172,-1.70464,-1.34589,0.193976,5.84443e-06,-1.19928,0.383502,0.676377,0.548022,1.74551,0.418738,0.0577792,0.947897,2.00063,2.71195,-2.01603,0.479507,-0.617791,-1.51052,-0.0629414,0.149514,-0.584337,1.50121,-1.15547,3.01925,0.682358,0.852387,-0.200382,1.11855,-0.403724,0.525984,1.85295,0.0863689,-0.704598,0.157205,0.0341629,0.154506,-0.232564,1,0.588123,0,0.808771,0.405394,0.0493023,0.314145,1.09941,0.194389,-0.612356,0.0606123,0.608581,1.22399,0.345553,0.453455,0.213231,0.0350135,0.0637301,-0.00175274,-0.0107303,-0.0463084,-0.0189647,-0.00254495,0.114754,0.0167256,0.0163351,0.0891365,-0.025591,0.00592051,1,0.588123,0.588123,1
-218.761,0.934325,0.0110099,8,255,0,264.634,0.588997,0.675063,1.19994,1.01011,0.95229,-1.17113,-0.527238,0.412081,0.203106,0.121151,-0.0414234,-0.0337312,-0.558691,-1.18322,-0.302275,-0.7851,-1.00186,-0.225188,-0.250117,0.117666,1.33092,0.6566,-0.315138,-0.756989,0.592365,0.700782,1.41636,1.00445,0.816861,-1.40572,-0.197672,-0.39548,-0.503769,0.820046,-0.00719167,-0.930079,1.20318,-0.553414,-0.113485,-0.468343,-0.506305,-0.0186129,-0.471049,0.0461665,0.44665,0.328703,0.513534,-0.378888,0.0116443,1.85794,-1.06617,-0.354779,1.09736,-0.705321,0.187302,-1.01676,0.0304648,1.00254,-0.913096,2.69673,1.18226,0.283461,2.1458,0.0937624,0.654765,-0.181592,0.0524463,-0.0917986,-0.552316,-0.112209,2.19276,0.508236,-0.108427,1,-0.74657,0,0.665306,0.293237,0.0569007,0.378431,0.544816,-0.104034,-0.206826,-0.298153,0.293981,0.790783,0.0831213,0.0274946,-0.0532495,-0.0269188,-0.032904,-0.119287,0.0566134,0.0370529,0.0443458,-0.0771546,-0.0698022,0.0691906,0.020804,0.00969951,-0.017009,0.0877766,1,-0.74657,-0.74657,1
-214.2,0.998953,0.00693455,9,767,0,256.606,0.574327,0.667914,1.01186,0.771899,0.87579,-1.13304,-0.528767,0.352084,0.198111,0.203743,-0.271704,0.206158,-0.764543,-1.336,0.010982,-0.669059,-0.999421,-0.275233,-0.320369,0.0811859,1.30455,0.375486,-0.366853,-0.249023,0.445959,0.599457,0.736208,0.893521,1.44499,-1.13902,-1.33477,-0.670391,-0.412395,-0.211544,-0.911896,0.237869,-0.736602,-0.971611,0.137951,0.0878863,-1.11375,0.0123817,0.155637,0.0647353,1.52231,0.121824,-0.142877,0.682295,1.10406,0.697264,0.99663,-0.174884,-1.09601,-2.30435,-0.0317754,-1.22677,0.846723,0.0792218,2.22332,0.74608,-0.847456,-0.816944,-1.15955,-0.600447,-1.15023,-1.19105,-0.418586,-0.946777,-1.37111,-0.67498,-0.870719,0.822837,-0.320861,1,0.765005,0,0.644024,0.429508,0.028658,0.556026,0.29948,-0.0751138,-0.989738,-0.526906,0.0340264,0.320447,-0.350884,-0.257896,-0.511566,-0.406648,-0.289909,0.0336807,-0.0240625,-0.051106,-0.0112676,0.0427713,0.000715677,-0.0393114,-0.034393,-0.0338376,-0.0460624,-0.0308683,1,0.765005,0.765005,1
-216.682,0.999726,0.00585726,9,511,0,246.292,0.584909,0.770565,1.01345,0.809614,0.823525,-1.07581,-0.60594,0.417831,0.149695,0.274515,-0.128119,0.0894534,-0.848571,-1.33309,-0.0183791,-0.641907,-1.06174,-0.217615,-0.322033,0.0707784,1.24142,0.409612,-0.408459,-0.414832,0.359076,0.801221,1.82187,0.967628,0.368472,-1.06403,-0.779568,-0.73895,-1.33246,0.0792637,0.157899,-0.735307,-0.273083,-0.538906,-0.625967,-0.816559,-1.49041,0.52142,-0.321291,0.434086,1.04637,1.02345,-0.860973,0.0639664,0.479174,1.18812,0.207736,-1.78397,0.514657,-1.87525,1.68736,-1.16011,1.17968,-0.476077,0.925007,1.19817,-2.01132,1.20058,0.776838,-0.235787,0.204986,-0.87707,0.841928,-0.892512,-1.44616,-1.89969,0.0873094,0.747052,-0.109387,1,-0.489385,0,0.872068,0.285772,0.0232838,0.425533,0.339533,-0.50981,-0.535894,-0.331528,-0.13605,0.342404,0.343092,-0.0673813,-0.250642,-0.255055,-0.542877,-0.00932027,0.030778,0.0556299,0.0371726,0.0242071,-0.0544928,0.00209342,0.00684897,0.0270894,-0.0191944,0.0234192,1,-0.489385,-0.489385,1
-222.583,0.999964,0.00533617,9,511,0,252.198,0.63419,0.795207,0.779707,0.943969,1.00838,-0.911599,-0.400934,0.38946,0.334355,0.225039,-0.262606,0.439077,-0.628542,-1.28941,0.169633,-0.544199,-0.931243,-0.162598,-0.430582,0.0289204,1.12984,0.364944,-0.483748,-0.26971,0.500446,0.523393,-0.425996,1.45583,2.07044,-0.0392773,0.369798,0.966261,0.959765,-0.0195211,-0.467108,0.334178,-1.05562,-1.05643,0.787523,-1.42824,-0.663125,-1.07386,-0.625812,0.115494,1.69035,-0.121615,-0.339349,-1.35094,-0.0816569,1.38632,0.735,-0.411328,-0.159048,-0.595697,2.49328,-0.788333,-0.216203,0.37807,-1.02651,1.95422,1.30632,-0.307436,0.817406,-0.256047,-0.502561,-1.10122,-0.272868,-0.554717,-0.673579,0.0765291,-0.645892,0.684835,0.0705163,1,0.462724,0,0.886503,0.313552,0.0526407,0.551314,0.434685,-0.128973,-0.186782,-0.247184,0.118545,0.612751,-0.0963974,-0.080284,-0.345291,-0.173933,0.0239959,0.0680678,-0.0174413,0.101842,-0.0292916,-0.0386943,0.108562,0.0306566,-0.0296894,-0.0395574,-0.0449452,-0.0282772,1,0.462724,0.462724,1
-213.272,0.999692,0.00511959,9,511,0,259.713,0.642817,1.06133,0.923982,0.738105,1.36388,-1.56614,-0.380212,0.165545,-0.0680542,0.245556,-0.0779483,0.206692,-0.440107,-1.27201,-0.276985,-0.657095,-1.22324,-0.135885,-0.194509,0.156183,1.50071,0.638519,-0.0438437,-0.281271,0.507543,1.16408,2.5129,0.136617,0.477618,-2.24213,-0.868339,-0.302491,-1.21444,-0.376604,-0.26203,-0.721435,-0.246417,-1.48131,-0.943584,0.276935,-0.832433,0.268031,0.130066,0.5827,1.49543,0.973023,0.0819504,-0.198842,0.663047,1.51895,-1.15049,-0.00359336,-1.03267,-1.68966,-2.01143,-0.349431,-0.38349,0.261786,1.10086,2.13435,-1.76402,0.510714,-1.2248,0.00266281,0.396415,-0.864157,1.41586,-0.370546,1.80144,-0.130235,0.475533,0.556316,-0.172841,1,0.46739,0,0.884051,0.350002,0.0555369,0.400455,0.531635,-0.00125768,-0.591386,-0.122302,0.0916256,0.747026,0.178751,0.000931989,-0.302457,-0.129692,-0.0455824,-0.0170583,-0.0507946,-0.142615,-0.0278987,0.0608446,-0.031207,-0.0468776,0.0195321,0.0470839,0.0788276,0.0199669,1,0.46739,0.46739,1
-206.94,0.999692,0.00508877,9,511,0,254.659,0.645126,1.11818,0.821822,0.885008,1.52919,-1.37748,-0.610599,0.218072,0.127269,0.0732941,-0.165733,0.171032,-0.452596,-1.16228,-0.193853,-0.75152,-1.21203,-0.238932,-0.283735,0.0531959,1.38207,0.545055,-0.00294418,-0.430165,0.562641,0.865587,-0.022891,1.20446,1.13657,-0.479883,-2.1011,-0.99554,-0.0458237,0.862066,-0.934424,-0.868378,-0.100452,-0.972817,0.126431,-0.911207,-1.52558,-0.151688,-0.864017,0.662736,1.00307,0.524145,-0.342812,-0.290648,1.37521,0.983082,-0.718579,-0.415305,0.389108,-0.866711,-0.712645,-1.39881,0.0566426,0.532914,-0.586567,1.07942,-0.421087,0.823957,0.471498,0.379222,-0.783224,0.0792215,-0.566149,0.0442916,-0.055222,-0.474985,1.95835,0.572814,-0.118003,1,-0.474255,0,0.880387,0.659031,0.0913338,0.423197,0.647882,-0.273699,-0.57119,-0.921858,0.351207,0.711369,0.543014,0.249919,0.0522095,0.0291896,-0.31303,-0.100363,0.049277,-0.0197612,0.0651446,-0.0702488,-0.0806146,0.00222257,-0.0794045,-0.048955,-0.00635887,0.178043,1,-0.474255,-0.474255,1
